date,val
1996-01-01,2.45013
1997-01-01,2.47714
1998-01-01,2.49621
1999-01-01,2.54362
2000-01-01,2.61983
2001-01-01,2.63715
2002-01-01,2.54745
2003-01-01,2.55015
2004-01-01,2.48686
2005-01-01,2.50193
2006-01-01,2.54545
2007-01-01,2.61516
2008-01-01,2.74481
2009-01-01,2.79181
2010-01-01,2.71444
2011-01-01,2.73803
2012-01-01,2.67273
2013-01-01,2.69592
2014-01-01,2.70881
2015-01-01,2.77328
2016-01-01,2.83676
2017-01-01,2.88357
2018-01-01,2.99045
2019-01-01,3.14704
2020-01-01,3.42467
2021-01-01,3.48313
2022-01-01,3.58623
