date,val
1960-01-01,27045000000.0
1961-01-01,27602000000.0
1962-01-01,29066000000.0
1963-01-01,31074000000.0
1964-01-01,35019000000.0
1965-01-01,37146000000.0
1966-01-01,40920000000.0
1967-01-01,43467000000.0
1968-01-01,47906000000.0
1969-01-01,51922000000.0
1970-01-01,59709000000.0
1971-01-01,62963000000.0
1972-01-01,70843000000.0
1973-01-01,95269000000.0
1974-01-01,126650000000.0
1975-01-01,138706000000.0
1976-01-01,149515000000.0
1977-01-01,159349000000.0
1978-01-01,186883000000.0
1979-01-01,230129000000.0
1980-01-01,280772000000.0
1981-01-01,305239000000.0
1982-01-01,283210000000.0
1983-01-01,276996000000.0
1984-01-01,302380000000.0
1985-01-01,303211000000.0
1986-01-01,320998000000.0
1987-01-01,363943000000.0
1988-01-01,444601000000.0
1989-01-01,504289000000.0
1990-01-01,551873000000.0
1991-01-01,594931000000.0
1992-01-01,633053000000.0
1993-01-01,654799000000.0
1994-01-01,720937000000.0
1995-01-01,812810000000.0
1996-01-01,867589000000.0
1997-01-01,953803000000.0
1998-01-01,952979000000.0
1999-01-01,992910000000.0
2000-01-01,1096111000000.0
2001-01-01,1026812000000.0
2002-01-01,997979000000.0
2003-01-01,1035165000000.0
2004-01-01,1176363000000.0
2005-01-01,1301580000000.0
2006-01-01,1470170000000.0
2007-01-01,1659295000000.0
2008-01-01,1835280000000.0
2009-01-01,1582774000000.0
2010-01-01,1857247000000.0
2011-01-01,2115864000000.0
2012-01-01,2217700000000.0
2013-01-01,2287922000000.0
2014-01-01,2378545000000.0
2015-01-01,2270622000000.0
2016-01-01,2235558000000.0
2017-01-01,2388260000000.0
2018-01-01,2538089000000.0
2019-01-01,2539391000000.0
2020-01-01,2151139000000.0
2021-01-01,2555430000000.0
2022-01-01,3017379000000.0
2023-01-01,3052469000000.0
2024-01-01,3180241000000.0
