date,val
1960-01-01,542390475099.326
1961-01-01,562640778342.419
1962-01-01,604729643906.496
1963-01-01,638380883119.283
1964-01-01,685631590686.501
1965-01-01,743503780837.106
1966-01-01,814082043610.829
1967-01-01,860737154023.838
1968-01-01,941639100803.844
1969-01-01,1018471133696.76
1970-01-01,1073303000000.0
1971-01-01,1164850000000.0
1972-01-01,1279110000000.0
1973-01-01,1425376000000.0
1974-01-01,1545243000000.0
1975-01-01,1684904000000.0
1976-01-01,1873412000000.0
1977-01-01,2081826000000.0
1978-01-01,2351599000000.0
1979-01-01,2627333000000.0
1980-01-01,2857307000000.0
1981-01-01,3207041000000.0
1982-01-01,3343789000000.0
1983-01-01,3634038000000.0
1984-01-01,4037613000000.0
1985-01-01,4338979000000.0
1986-01-01,4579631000000.0
1987-01-01,4855215000000.0
1988-01-01,5236438000000.0
1989-01-01,5641580000000.0
1990-01-01,5963144000000.0
1991-01-01,6158129000000.0
1992-01-01,6520327000000.0
1993-01-01,6858559000000.0
1994-01-01,7287236000000.0
1995-01-01,7639749000000.0
1996-01-01,8073122000000.0
1997-01-01,8577552000000.0
1998-01-01,9062817000000.0
1999-01-01,9631172000000.0
2000-01-01,10250952000000.0
2001-01-01,10581929000000.0
2002-01-01,10929108000000.0
2003-01-01,11456450000000.0
2004-01-01,12217196000000.0
2005-01-01,13039197000000.0
2006-01-01,13815583000000.0
2007-01-01,14474228000000.0
2008-01-01,14769862000000.0
2009-01-01,14478067000000.0
2010-01-01,15048971000000.0
2011-01-01,15599732000000.0
2012-01-01,16253970000000.0
2013-01-01,16880683000000.0
2014-01-01,17608138000000.0
2015-01-01,18295019000000.0
2016-01-01,18804913000000.0
2017-01-01,19612102000000.0
2018-01-01,20656516000000.0
2019-01-01,21539982000000.0
2020-01-01,21354105000000.0
2021-01-01,23681171000000.0
2022-01-01,26006893000000.0
2023-01-01,27720709000000.0
2024-01-01,29184890000000.0
