date,val
1970-01-01,385050428516.905
1971-01-01,431934530200.218
1972-01-01,512524224855.51
1973-01-01,701826899337.694
1974-01-01,970216543010.571
1975-01-01,1031973600530.19
1976-01-01,1150501853943.38
1977-01-01,1304848959436.16
1978-01-01,1526664379616.74
1979-01-01,1914319233928.13
1980-01-01,2313573232467.6
1981-01-01,2316537363108.59
1982-01-01,2174608273688.3
1983-01-01,2143304225202.12
1984-01-01,2268120475908.44
1985-01-01,2297867428809.87
1986-01-01,2569422836064.19
1987-01-01,3042627737389.52
1988-01-01,3499272973444.97
1989-01-01,3781401956187.16
1990-01-01,4326008307598.04
1991-01-01,4484664711558.03
1992-01-01,5069788297624.67
1993-01-01,4918098306945.68
1994-01-01,5449165780893.15
1995-01-01,6444195070161.11
1996-01-01,6733315632257.22
1997-01-01,6988548762178.98
1998-01-01,6917324867709.94
1999-01-01,7175415288201.88
2000-01-01,7957126306652.69
2001-01-01,7707270263602.11
2002-01-01,8091208770449.35
2003-01-01,9366223386411.63
2004-01-01,11377030980859.9
2005-01-01,12930870234742.5
2006-01-01,14871339514338.8
2007-01-01,17304939969545.0
2008-01-01,19763710811792.9
2009-01-01,15955326468236.6
2010-01-01,19016664393550.2
2011-01-01,22477439684185.2
2012-01-01,22807848450360.6
2013-01-01,23452087600045.9
2014-01-01,23819945499750.4
2015-01-01,21245830971247.8
2016-01-01,20859888736416.4
2017-01-01,22990988378124.6
2018-01-01,25200586106908.1
2019-01-01,24790398444854.1
2020-01-01,22466552609697.6
2021-01-01,28133719256135.8
2022-01-01,31578971296523.3
2023-01-01,31149442275576.1
2024-01-01,32304283037107.5
